GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US73430,73430,ZCTA5 73430,1313,213
8600000US73931,73931,ZCTA5 73931,473,94
8600000US73949,73949,ZCTA5 73949,1434,219
8600000US75001,75001,ZCTA5 75001,14617,291
8600000US75002,75002,ZCTA5 75002,69688,1186
8600000US75006,75006,ZCTA5 75006,50788,474
8600000US75007,75007,ZCTA5 75007,53744,1333
8600000US75009,75009,ZCTA5 75009,10557,774
8600000US75010,75010,ZCTA5 75010,27822,1099
8600000US75013,75013,ZCTA5 75013,38975,1118
8600000US75019,75019,ZCTA5 75019,41947,365
8600000US75020,75020,ZCTA5 75020,21891,491
8600000US75021,75021,ZCTA5 75021,8704,683
8600000US75022,75022,ZCTA5 75022,24625,602
8600000US75023,75023,ZCTA5 75023,49563,1099
8600000US75024,75024,ZCTA5 75024,42405,903
8600000US75025,75025,ZCTA5 75025,53559,1078
8600000US75028,75028,ZCTA5 75028,47056,628
8600000US75032,75032,ZCTA5 75032,31399,1019
8600000US75034,75034,ZCTA5 75034,95996,1400
8600000US75035,75035,ZCTA5 75035,65264,1097
8600000US75038,75038,ZCTA5 75038,29762,1074
8600000US75039,75039,ZCTA5 75039,18010,973
8600000US75040,75040,ZCTA5 75040,62277,1429
8600000US75041,75041,ZCTA5 75041,33304,1057
8600000US75042,75042,ZCTA5 75042,39559,1468
8600000US75043,75043,ZCTA5 75043,59951,1515
8600000US75044,75044,ZCTA5 75044,40942,1254
8600000US75048,75048,ZCTA5 75048,24203,101
8600000US75050,75050,ZCTA5 75050,42670,1340
8600000US75051,75051,ZCTA5 75051,40962,1429
8600000US75052,75052,ZCTA5 75052,94133,1901
8600000US75054,75054,ZCTA5 75054,10764,911
8600000US75056,75056,ZCTA5 75056,57115,1166
8600000US75057,75057,ZCTA5 75057,14562,670
8600000US75058,75058,ZCTA5 75058,2697,311
8600000US75060,75060,ZCTA5 75060,47922,1306
8600000US75061,75061,ZCTA5 75061,54907,1306
8600000US75062,75062,ZCTA5 75062,48553,1654
8600000US75063,75063,ZCTA5 75063,38383,952
8600000US75065,75065,ZCTA5 75065,12457,431
8600000US75067,75067,ZCTA5 75067,66896,1301
8600000US75068,75068,ZCTA5 75068,55848,1199
8600000US75069,75069,ZCTA5 75069,36879,1284
8600000US75070,75070,ZCTA5 75070,93299,1471
8600000US75071,75071,ZCTA5 75071,49846,1255
8600000US75074,75074,ZCTA5 75074,48977,1403
8600000US75075,75075,ZCTA5 75075,35933,987
8600000US75076,75076,ZCTA5 75076,7244,515
8600000US75077,75077,ZCTA5 75077,36181,1011
